"id";"alimento";"energia_Kcal";"energia_KJ";"prot_tot_gr";"glucidi_tot";"lipidi_tot";"saturi_tot";"fkAllergene1";"fkAllergene2";"fkAllergene3";"fkTipologiaAlimento"
783;"ZAFFERANO [CROCUS SATIVUS]";310.0;1297.0;11.4;61.5;5.9;1.59;15;0;0;1
784;"ZAMPONE";360.0;1506.0;19.1;0.0;31.6;10.35;15;0;0;7
785;"ZUCCA GIALLA [CUCURBITA MAXIMA]";18.0;75.0;1.1;3.5;0.1;0.05;15;0;0;11
786;"ZUCCHERO (Saccarosio)";392.0;1640.0;0.0;104.5;0.0;0.0;15;0;0;1
787;"ZUCCHERO DI CANNA, GREZZO";362.0;1515.0;0.1;101.3;0.0;0.0;15;0;0;1
788;"ZUCCHINE [CUCURBITA PEPO]";11.0;46.0;1.3;1.4;0.1;0.02;15;0;0;1
789;"ESTRATTO VEGETALE";152.0;0.0;7.4;26.3;1.9;0.0;15;0;0;2
790;"PREPARATO DI PESCE SURGELATO";87.0;0.0;10.0;1.0;1.7;0.0;4;0;0;14
791;"VONGOLE SURGELATE";72.0;0.0;10.2;2.2;2.5;0.0;14;0;0;14
792;"MINESTRONE SURGELATO";49.0;0.0;2.4;17.0;0.7;0.0;15;0;0;12
793;"CHIODI DI GAROFANO";0.0;0.0;0.0;0.0;0.0;0.0;15;0;0;1
794;"UOVA INTERE PASTORIZZATE";138.0;0.0;13.0;0.0;9.5;0.0;3;0;0;5
795;"FILETTO DI PLATESSA";81.0;0.0;17.3;0.0;1.3;0.0;4;0;0;13
796;"ANELLI DI TOTANI SURGELATI";101.0;0.0;16.0;0.0;1.0;0.0;4;0;0;13
797;"COSTINE";20.0;0.0;1.3;2.8;0.1;0.0;15;0;0;7
798;"PATATE FRITTE SURGELATE";153.0;0.0;2.5;21.0;6.0;0.0;15;0;0;12
799;"ASPARAGI SURGELATI";20.0;0.0;2.4;2.0;0.0;0.0;15;0;0;12
800;"ASPARAGI SURGELATI";20.0;0.0;2.4;2.0;0.0;0.0;15;0;0;12
803;"CURRY";4.0;0.0;1.0;0.0;0.0;0.0;15;0;0;1
804;"PESTO ALLA GENOVESE";450.0;0.0;6.7;8.7;47.5;0.0;15;0;0;2
805;"INSALATA VERDE";19.0;0.0;1.8;2.2;0.4;0.0;15;0;0;11
807;"CECI /SCATOLA";105.0;0.0;5.3;18.2;1.4;0.0;15;0;0;1
808;"AFFETTATO DI POLLO";96.0;0.0;16.0;4.9;1.4;0.0;15;0;0;7
809;"MAIALE BRACIOLA";157.0;0.0;21.3;0.0;8.0;0.0;15;0;0;7
810;"NASELLO";75.0;0.0;17.3;0.0;0.6;0.0;4;0;0;13
811;"EMMENTHAL";403.0;0.0;28.5;3.6;30.6;0.0;7;0;0;6
812;"ROAST BEEF DI PROSCIUTTO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
813;"TACCHINO AL DRAGONCELLO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
814;"NASELLO BURRO E LIMONE FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;7;4;0;2
815;"MAIALE PIZZAIOLA FRULLATO";141.0;0.0;15.0;3.4;7.4;0.0;1;0;0;7
816;"MANZO CON CAROTE FRULLATO";141.0;0.0;15.0;3.4;7.4;0.0;15;0;0;7
817;"POLLO AL LIMONE FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
818;"SPEZZATINO DI VITELLO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
819;"NASELLO ACETOSA FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;4;0;0;13
820;"OSSOBUCO FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
821;"POLLO IN FRICASSEA FRULLATO";141.0;0.0;15.0;3.2;7.4;0.0;15;0;0;7
822;"RATATOUILLE FRULLATA";64.0;0.0;3.0;8.4;0.0;0.0;16;0;0;2
823;"PUREA DI SEDANO FRULLATA";64.0;0.0;3.0;8.4;1.5;0.0;9;0;0;11
824;"LENTICCHIE ALLE VERDURE FRULLATE";77.0;0.0;4.7;13.0;5.1;0.0;15;0;0;2
825;"VERDURE PRIMAVERILI FRULLATE";64.0;0.0;3.0;8.4;1.5;0.0;15;0;0;2
826;"PUREA DI CAROTE FRULLATA";64.0;0.0;3.0;8.4;1.5;0.0;15;0;0;2
827;"PUREA DI FAGIOLINI FRULLATA";64.0;0.0;3.0;8.4;1.5;0.0;15;0;0;2
828;"NASELLO BURRO E LIMONE FRULLATO";142.0;0.0;15.0;3.7;7.5;0.0;7;4;0;2
829;"PASTINA APROTEICA IN BRODO";355.0;0.0;0.5;81.0;1.6;0.0;15;0;0;2
830;"PASTA APROTEICA";351.0;0.0;0.5;81.0;1.1;0.0;15;0;0;1
831;"PASTA DI MAIS";357.0;0.0;7.4;79.26;2.0;0.0;15;0;0;1
832;"TONNO IN SCATOLA";103.0;0.0;25.1;0.0;10.0;0.0;4;0;0;1
833;"AGNOLOTTI";265.0;0.0;10.6;40.7;7.3;0.0;1;3;0;2
834;"GNOCCHI";164.0;0.0;3.9;37.9;0.3;0.0;1;3;0;2
835;"CIME DI RAPA";27.0;11.2;2.6;2.8;0.1;0.0;15;0;0;11
836;"AROMI";20.0;0.0;3.7;2.0;0.6;0.0;15;0;0;1
837;"FARRO";61.0;255.0;5.0;10.7;0.4;0.05;1;0;0;1
838;"MANZO AFFUMICATO";117.0;492.0;23.1;0.4;2.0;0.0;15;0;0;7
839;"UOVO DI GALLINA, SODO";156.0;0.0;13.0;0.0;11.1;0.0;3;0;0;5
840;"Riso Venere";0.0;0.0;0.0;0.0;0.0;0.0;15;0;0;1
